0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/images/streetstudy.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:37:55 +0530] "GET /MVC2Assignment1/Images/logo_meta.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:40:52 +0530] "GET /MVC2Assignment1/CSS-Assignment2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:10:40:52 +0530] "GET /MVC2Assignment1/CSS/cssassignment2.css HTTP/1.1" 304 -
